MONTH,2023.AIR,2023.SEA,3023.TOT,2022.AIR,2022.SEA,2022.  TOT,2021.AIR,2021.SEA,2021.  TOT,2020.AIR,2020.SEA,2020.  TOT,2019.AIR,2019.SEA,2019.  TOT,2018.AIR,2018.SEA,2018.  TOT,2017.AIR,2017.SEA,2017.  TOT,2016.AIR,2016.SEA,2016.  TOT,2015.AIR,2015.SEA,2015.  TOT,2014.AIR,2014.SEA,2014.TOT,2013.AIR,2013.SEA,2013.  TOT,2012.AIR,2012.SEA,2012.  TOT,2011.AIR,2011.SEA,2011.TOT,2010.AIR,2010.SEA,2010.TOT,2009.AIR,2009.SEA,2009.TOT,2008.AIR,2008.SEA,2008.TOT,2007.AIR,2007.SEA,2007.TOT,2006.AIR,2006.SEA,2006.TOT,2005.AIR,2005.SEA,2005.TOT,2004.AIR,2004.SEA,2004.TOT,2003.AIR,2003.SEA,2003.TOT,2002.AIR,2002.SEA,2002.TOT,2001.AIR,2001.SEA,2001.TOT,2000.AIR,2000.SEA,2000.TOT
PURPOSE OF VISIT,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL,    AIR,    SEA,TOTAL
Holiday,235837,645,236482,281126,465,281591,172307,107,172414,94585,755,95340,330162,2399,332561,320709,4880,325589,317459,1178,318637,276334,316,276650,247611,663,248274,215014,220,215234,212747,289,213036,190996,638,191634,175511,422,175933,156103,559,156662,140858,1145,142003,140733,1279,142012,146175,737,146912,125423,2526,127949,113372,2654,116026,106061,2088,108149,107822,1896,109718,116020,1083,117103,114737,1423,116160,115354,2289,117643
Visiting Friends,15088,0,15088,7799,0,7799,2893,0,2893,2266,0,2266,10761,0,10761,11212,0,11212,11738,0,11738,6488,0,6488,6352,0,6352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,5853,30,5883,6027,32,6059,1776,0,1776,1696,0,1696,7588,0,7588,8122,0,8122,7379,0,7379,7724,3,7727,8243,5,8248,8479,4,8483,8027,0,8027,6077,18,6095,6449,5,6454,9752,102,9854,9507,79,9586,9183,51,9234,7086,189,7275,6549,77,6626,6130,114,6244,6253,104,6357,5554,71,5625,6340,77,6417,5852,57,5909,5994,46,6040
Honeymoon,22581,1,22582,27708,1,27709,666,0,666,126,0,126,676,0,676,656,0,656,774,0,774,750,0,750,640,0,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedding,2605,0,2605,3214,0,3214,996,0,996,272,0,272,684,0,684,608,0,608,478,0,478,407,0,407,317,0,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference,191,0,191,127,0,127,15,0,15,77,0,77,559,0,559,1074,0,1074,963,0,963,1129,0,1129,1468,0,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workshop,1,0,1,16,0,16,2,0,2,38,0,38,250,0,250,259,0,259,393,0,393,294,0,294,269,0,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday / Business,0,0,0,15,0,15,110,0,110,63,0,63,281,0,281,402,0,402,322,0,322,291,0,291,458,0,458,384,0,384,222,0,222,195,0,195,381,0,381,480,0,480,586,2,588,566,1,567,526,1,527,478,1,479,474,0,474,365,8,373,463,10,473,534,0,534,505,4,509,496,4,500
Transit,234,498,732,654,662,1316,187,43,230,5238,5407,10645,12596,9703,22299,6236,1056,7292,2357,576,2933,1932,428,2360,2208,300,2508,868,373,1241,1035,142,1177,674,645,1319,913,463,1376,844,322,1166,1081,820,1901,2290,1318,3608,2594,1567,4161,2327,1099,3426,2584,1119,3703,2139,1348,3487,2597,1142,3739,3285,1820,5105,2505,1601,4106,2466,1027,3493
Crew,1877,96,1973,1732,312,2044,1167,367,1534,1140,342,1482,1514,171,1685,1392,58,1450,1553,71,1624,1649,76,1725,1942,143,2085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other / Not Stated,1764,278,2042,2128,50,2178,2139,74,2213,2812,35,2847,4440,2,4442,2119,0,2119,4280,37,4317,4926,66,4992,4968,91,5059,7112,213,7325,7578,232,7810,8618,173,8791,10230,102,10332,6274,93,6367,3420,43,3463,3514,17,3531,2357,41,2398,2101,46,2147,2157,50,2207,2290,109,2399,2450,33,2483,3041,46,3087,3050,28,3078,2358,12,2370
Sports,38,6,44,0,0,0,0,0,0,6,0,6,2387,31,2418,3029,32,3061,303,0,303,364,0,364,555,0,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
